,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv
0,EVANSVILLE,IN,47711,FIFTH THIRD BANK,IN,451120,1997-02-28,1997-01-01,84,4,2.0,0,0,1,0,N,Y,2010-03-13,1999-02-28,60000.0,0.0,P I F,0.0,60000.0,48000.0
1,NEW PARIS,IN,46526,1ST SOURCE BANK,OH,722410,1997-02-28,1997-01-01,60,2,2.0,0,0,1,0,N,Y,2010-03-13,1997-05-31,40000.0,0.0,P I F,0.0,40000.0,32000.0
2,BLOOMINGTON,MN,47401,WELLS FARGO BANK NATL ASSOC,IL,621210,1997-02-28,1997-01-01,180,7,1.0,0,0,1,0,N,N,2010-03-13,1997-12-31,287000.0,0.0,P I F,0.0,287000.0,215250.0
3,BROKEN ARROW,OK,74012,BANK OF AMERICA NATL ASSOC,OK,0,1997-02-28,1997-01-01,60,2,1.0,0,0,1,0,N,Y,2010-03-13,1997-06-30,35000.0,0.0,P I F,0.0,35000.0,28000.0
4,ORLANDO,FL,32801,BANK OF AMERICA NATL ASSOC,FL,0,1997-02-28,1997-01-01,240,14,1.0,7,7,1,0,N,N,2010-03-13,1997-05-14,229000.0,0.0,P I F,0.0,229000.0,229000.0
5,PLAINVILLE,CT,6062,BANK OF AMERICA NATL ASSOC,CT,332721,1997-02-28,1997-01-01,120,19,1.0,0,0,1,0,N,N,2010-03-13,1997-06-30,517000.0,0.0,P I F,0.0,517000.0,387750.0
6,UNION,NJ,7083,BANK OF AMERICA NATL ASSOC,NJ,0,1980-06-02,1980-01-01,45,45,2.0,0,0,0,0,N,N,1991-06-24,1980-07-22,600000.0,0.0,CHGOFF,208959.0,600000.0,499998.0
7,SUMMERFIELD,FL,34491,BANK OF AMERICA NATL ASSOC,NC,811118,1997-02-28,1997-01-01,84,1,2.0,0,0,1,0,N,Y,2010-03-13,1998-06-30,45000.0,0.0,P I F,0.0,45000.0,36000.0
8,PORT SAINT JOE,FL,32456,BANCO POPULAR NORTH AMERICA,FL,721310,1997-02-28,1997-01-01,297,2,2.0,0,0,1,0,N,N,2010-03-13,1997-07-31,305000.0,0.0,P I F,0.0,305000.0,228750.0
9,GLASTONBURY,CT,6073,BANK OF AMERICA NATL ASSOC,CT,0,1997-02-28,1997-01-01,84,3,2.0,0,0,1,0,N,Y,2010-03-13,1997-04-30,70000.0,0.0,P I F,0.0,70000.0,56000.0
10,CHARLOTTE,NC,28256,BANK OF AMERICA NATL ASSOC,NC,811111,1997-02-28,1997-01-01,84,1,2.0,0,0,1,0,N,Y,2010-03-13,1998-02-23,70000.0,0.0,P I F,0.0,70000.0,56000.0
11,CHICAGO,IL,60605,JPMORGAN CHASE BANK NATL ASSOC,IL,235950,1997-02-28,1997-01-01,60,24,1.0,0,0,1,0,N,N,2010-03-13,1997-11-30,150000.0,0.0,P I F,0.0,300000.0,225000.0
12,APEX,NC,27502,BANK OF AMERICA NATL ASSOC,NC,445299,2006-02-07,2006-01-01,162,2,2.0,0,0,15100,1,N,N,2010-03-13,2006-03-31,253400.0,0.0,P I F,0.0,253400.0,190050.0
13,SLATERSVILLE,RI,2876,BANK OF AMERICA NATL ASSOC,RI,0,1997-02-28,1997-01-01,120,2,2.0,0,0,1,0,N,N,2010-03-13,1997-05-31,370000.0,0.0,P I F,0.0,370000.0,277500.0
14,WINSTON-SALEM,NC,27106,WELLS FARGO BANK NATL ASSOC,NC,0,1997-02-28,1997-01-01,240,1,1.0,30,0,1,0,N,N,2010-03-13,1997-12-17,225000.0,0.0,P I F,0.0,225000.0,225000.0
15,OKLAHOMA CITY,OK,73112,BANCFIRST,OK,421330,1997-02-28,1997-01-01,12,5,2.0,0,0,1,0,N,N,2010-03-13,1997-09-30,350000.0,0.0,P I F,0.0,350000.0,262500.0
16,MIDLAND,TX,79701,JPMORGAN CHASE BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,60,5,1.0,0,0,1,0,N,Y,2010-03-13,1997-06-30,70000.0,0.0,P I F,0.0,70000.0,56000.0
17,CENTREVILLE,VA,20120,BANK OF AMERICA NATL ASSOC,VA,0,1997-02-28,1997-01-01,60,16,1.0,0,0,1,0,N,Y,2010-03-13,1997-07-31,100000.0,0.0,P I F,0.0,100000.0,80000.0
18,PLANO,TX,75093,JPMORGAN CHASE BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,84,12,2.0,0,0,19755,0,N,Y,2010-03-13,1997-05-31,57500.0,0.0,P I F,0.0,57500.0,46000.0
19,KNOXVILLE,TN,37922,FIRST TENNESSEE BANK NATL ASSO,TN,0,1997-02-28,1997-01-01,120,4,2.0,0,0,1,0,N,Y,2010-03-13,1998-05-31,50000.0,0.0,P I F,0.0,50000.0,40000.0
20,DUMAS,TX,79029,HAPPY STATE BANK,TX,0,1997-02-28,1997-01-01,300,12,2.0,0,0,1,0,N,N,2010-03-13,1997-04-30,615000.0,0.0,P I F,0.0,615000.0,461250.0
21,CORAL SPRINGS,FL,33065,BANK OF AMERICA NATL ASSOC,NC,624410,1997-02-28,1997-01-01,87,2,1.0,0,0,1,0,N,N,2010-03-13,1997-08-31,70000.0,0.0,P I F,0.0,70000.0,56000.0
22,JOHNSTON,RI,2919,CITIZENS BANK NATL ASSOC,RI,0,1997-02-28,1997-01-01,114,6,1.0,0,0,1,0,N,N,2010-03-13,1998-03-31,75000.0,0.0,P I F,0.0,75000.0,56250.0
23,EULESS,TX,76040,JPMORGAN CHASE BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,144,90,1.0,0,0,1,0,N,N,2010-03-13,1997-04-30,1250000.0,0.0,P I F,0.0,1250000.0,937500.0
24,LITTLE ROCK,AR,72223,SIMMONS FIRST NATIONAL BANK,AR,722211,2006-02-07,2006-01-01,126,7,1.0,0,0,1,1,N,N,2010-03-13,2006-04-30,137300.0,0.0,P I F,0.0,137300.0,116705.0
25,SAINT PETER,MN,56082,FIRST NATIONAL BANK MINNESOTA,MN,451110,1997-02-28,1997-01-01,60,2,1.0,0,0,1,0,N,N,2010-03-13,1997-04-30,39500.0,0.0,P I F,0.0,39500.0,29625.0
26,INDEPENDENCE,MO,64055,BANK OF AMERICA NATL ASSOC,MO,0,1997-02-28,1997-01-01,60,2,2.0,0,0,1,0,-,N,2010-03-13,1998-05-31,50000.0,0.0,P I F,0.0,50000.0,25000.0
27,MARSHFIELD,WI,2050,BMO HARRIS BK NATL ASSOC,WI,0,1997-02-28,1997-01-01,240,3,1.0,0,0,1,0,N,Y,2010-03-13,1997-07-31,75000.0,0.0,P I F,0.0,75000.0,60000.0
28,CAMARILLO,CA,93010,PACIFIC WESTERN BANK,CA,611110,2006-02-07,2006-01-01,83,18,2.0,5,23,1,1,Y,N,2010-03-13,2006-02-28,438541.0,0.0,P I F,0.0,100000.0,50000.0
29,ANDERSON,IN,29621,STAR FINANCIAL BANK,IN,445310,1997-02-28,1997-01-01,240,1,2.0,5,0,1,0,N,N,2010-03-13,1998-01-14,291000.0,0.0,P I F,0.0,291000.0,291000.0
